Year,Alaska
1925,48.6
1926,52.4
1927,49.8
1928,49.0
1929,50.2
1930,48.7
1931,48.4
1932,47.0
1933,46.0
1934,48.4
1935,48.8
1936,53.3
1937,50.6
1938,47.9
1939,49.0
1940,50.4
1941,50.4
1942,50.2
1943,51.4
1944,50.2
1945,47.0
1946,50.2
1947,47.7
1948,48.8
1949,44.0
1950,48.2
1951,48.8
1952,47.6
1953,51.6
1954,48.6
1955,45.2
1956,47.4
1957,52.9
1958,51.2
1959,50.7
1960,47.3
1961,48.3
1962,48.3
1963,46.0
1964,49.5
1965,46.3
1966,49.7
1967,50.2
1968,48.5
1969,51.6
1970,47.6
1971,49.4
1972,47.4
1973,47.9
1974,47.6
1975,46.7
1976,48.2
1977,49.6
1978,46.9
1979,48.4
1980,48.3
1981,48.8
1982,48.9
1983,50.2
1984,50.4
1985,46.8
1986,50.0
1987,49.0
1988,50.2
1989,49.7
1990,50.8
1991,51.5
1992,50.6
1993,51.5
1994,49.4
1995,49.8
1996,49.6
1997,52.2
1998,49.9
1999,51.0
2000,51.2
2001,50.8
2002,50.0
2003,51.2
2004,55.1
2005,52.5
2006,49.1
2007,51.0
2008,48.8
2009,49.8
2010,49.5
2011,49.8
2012,50.4
2013,53.9
2014,48.1
2015,52.3
2016,51.8
2017,51.4
2018,50.0
2019,54.0
2020,50.5
2021,50.9
2022,52.7
2023,50.0
