Year,Arizona
1895,71.6
1896,77.9
1897,72.7
1898,75.9
1899,74.7
1900,76.1
1901,72.8
1902,76.8
1903,74.2
1904,74.6
1905,73.1
1906,73.1
1907,69.8
1908,71.9
1909,75.0
1910,75.6
1911,73.5
1912,74.5
1913,71.8
1914,74.2
1915,72.8
1916,74.2
1917,74.9
1918,79.1
1919,75.2
1920,72.6
1921,74.8
1922,76.1
1923,70.7
1924,77.1
1925,73.4
1926,75.9
1927,73.4
1928,74.4
1929,74.4
1930,75.3
1931,74.9
1932,73.0
1933,75.2
1934,71.7
1935,75.9
1936,77.8
1937,74.0
1938,75.0
1939,75.1
1940,77.7
1941,71.1
1942,73.8
1943,73.1
1944,70.4
1945,70.9
1946,76.3
1947,72.8
1948,73.5
1949,73.8
1950,73.4
1951,72.0
1952,73.4
1953,74.5
1954,73.6
1955,72.7
1956,77.3
1957,76.1
1958,76.5
1959,77.9
1960,77.9
1961,77.9
1962,73.2
1963,71.6
1964,72.7
1965,69.0
1966,74.5
1967,71.5
1968,75.1
1969,72.5
1970,74.7
1971,73.8
1972,74.3
1973,74.4
1974,78.9
1975,72.8
1976,74.0
1977,76.2
1978,76.3
1979,74.2
1980,75.0
1981,78.6
1982,72.2
1983,72.4
1984,74.1
1985,76.9
1986,76.6
1987,76.3
1988,76.2
1989,75.6
1990,78.3
1991,71.6
1992,73.5
1993,74.2
1994,79.2
1995,72.1
1996,78.0
1997,73.8
1998,71.8
1999,74.5
2000,77.8
2001,77.5
2002,78.8
2003,76.3
2004,75.9
2005,74.4
2006,79.5
2007,77.3
2008,77.3
2009,73.0
2010,75.9
2011,75.7
2012,78.7
2013,79.5
2014,77.7
2015,78.4
2016,80.3
2017,79.8
2018,78.6
2019,75.2
2020,76.8
2021,80.6
2022,78.5
2023,72.5
