Year,Colorado
1895,58.5
1896,63.8
1897,61.4
1898,61.7
1899,61.1
1900,63.7
1901,61.0
1902,62.4
1903,57.4
1904,57.8
1905,62.0
1906,59.2
1907,57.5
1908,59.0
1909,60.9
1910,62.4
1911,62.9
1912,58.1
1913,60.4
1914,61.8
1915,57.6
1916,59.8
1917,59.1
1918,65.3
1919,60.6
1920,60.0
1921,61.0
1922,63.4
1923,60.1
1924,61.9
1925,61.8
1926,61.4
1927,60.1
1928,57.4
1929,60.8
1930,61.6
1931,64.5
1932,59.8
1933,65.1
1934,63.0
1935,61.4
1936,65.0
1937,60.4
1938,61.9
1939,61.4
1940,63.5
1941,59.0
1942,60.3
1943,60.8
1944,60.2
1945,56.8
1946,62.9
1947,58.2
1948,60.9
1949,59.9
1950,61.4
1951,57.0
1952,65.2
1953,64.2
1954,63.2
1955,58.8
1956,65.7
1957,60.0
1958,63.0
1959,64.4
1960,62.4
1961,62.5
1962,60.1
1963,62.4
1964,60.1
1965,58.8
1966,61.4
1967,58.3
1968,62.7
1969,57.6
1970,60.2
1971,62.7
1972,62.9
1973,60.5
1974,62.6
1975,58.9
1976,60.5
1977,65.3
1978,62.2
1979,60.4
1980,63.6
1981,64.5
1982,58.4
1983,58.3
1984,60.3
1985,62.2
1986,63.0
1987,62.8
1988,65.1
1989,59.8
1990,65.3
1991,62.5
1992,59.7
1993,60.2
1994,66.2
1995,58.5
1996,63.4
1997,62.2
1998,59.4
1999,60.5
2000,63.0
2001,63.9
2002,67.1
2003,60.1
2004,60.8
2005,60.9
2006,65.7
2007,62.8
2008,61.6
2009,59.8
2010,64.0
2011,62.9
2012,67.9
2013,65.6
2014,62.5
2015,64.9
2016,66.4
2017,64.8
2018,66.5
2019,60.6
2020,65.0
2021,65.7
2022,64.3
2023,60.0
