Year,Connecticut
1895,67.5
1896,63.3
1897,61.6
1898,65.9
1899,67.6
1900,66.0
1901,66.2
1902,63.2
1903,59.2
1904,63.9
1905,63.8
1906,65.5
1907,62.0
1908,67.2
1909,66.4
1910,63.4
1911,64.4
1912,64.0
1913,65.2
1914,64.0
1915,63.7
1916,60.8
1917,65.0
1918,62.3
1919,67.0
1920,63.6
1921,65.9
1922,66.9
1923,67.2
1924,63.3
1925,69.4
1926,61.5
1927,62.1
1928,62.8
1929,66.2
1930,68.6
1931,65.7
1932,65.0
1933,67.4
1934,67.8
1935,65.0
1936,65.4
1937,66.4
1938,65.4
1939,65.7
1940,63.8
1941,66.2
1942,66.2
1943,70.2
1944,66.2
1945,66.1
1946,64.4
1947,63.2
1948,64.1
1949,69.0
1950,65.2
1951,64.5
1952,67.5
1953,66.7
1954,66.1
1955,64.0
1956,66.8
1957,69.0
1958,60.9
1959,64.7
1960,65.8
1961,66.0
1962,66.2
1963,65.6
1964,64.6
1965,64.7
1966,66.5
1967,66.7
1968,64.3
1969,66.0
1970,64.8
1971,66.6
1972,63.2
1973,68.2
1974,64.5
1975,65.4
1976,68.7
1977,63.9
1978,65.2
1979,64.6
1980,63.4
1981,66.7
1982,62.6
1983,67.2
1984,67.7
1985,62.4
1986,64.4
1987,67.3
1988,65.4
1989,66.9
1990,66.5
1991,68.0
1992,64.3
1993,66.3
1994,68.8
1995,67.0
1996,67.1
1997,66.3
1998,65.2
1999,68.8
2000,66.0
2001,68.1
2002,65.5
2003,64.7
2004,65.0
2005,69.6
2006,67.1
2007,66.6
2008,68.6
2009,64.0
2010,68.9
2011,66.9
2012,66.4
2013,67.7
2014,66.8
2015,65.3
2016,67.4
2017,67.0
2018,66.4
2019,66.5
2020,68.4
2021,69.2
2022,66.3
2023,65.4
