Year,Delaware
1895,72.2
1896,69.2
1897,67.4
1898,71.2
1899,73.1
1900,71.5
1901,71.0
1902,70.0
1903,65.6
1904,69.4
1905,69.9
1906,71.5
1907,64.4
1908,70.2
1909,71.0
1910,67.8
1911,70.8
1912,69.2
1913,70.0
1914,71.4
1915,68.0
1916,66.9
1917,70.8
1918,68.1
1919,70.3
1920,69.8
1921,71.6
1922,72.4
1923,73.4
1924,68.5
1925,76.0
1926,67.5
1927,66.3
1928,69.3
1929,70.4
1930,72.2
1931,70.1
1932,70.5
1933,72.0
1934,74.4
1935,70.2
1936,70.3
1937,71.7
1938,69.8
1939,72.7
1940,71.2
1941,69.8
1942,71.9
1943,76.1
1944,71.9
1945,72.0
1946,69.0
1947,69.0
1948,70.7
1949,72.4
1950,69.8
1951,70.4
1952,73.4
1953,71.2
1954,71.4
1955,67.8
1956,71.0
1957,74.0
1958,68.1
1959,72.3
1960,71.1
1961,70.3
1962,71.1
1963,70.6
1964,71.3
1965,69.6
1966,71.2
1967,70.2
1968,71.0
1969,72.9
1970,70.6
1971,71.7
1972,67.4
1973,73.6
1974,67.9
1975,71.0
1976,73.1
1977,68.6
1978,70.8
1979,67.2
1980,69.0
1981,72.7
1982,68.6
1983,71.1
1984,72.6
1985,69.6
1986,72.6
1987,73.6
1988,71.5
1989,74.0
1990,71.4
1991,72.6
1992,68.1
1993,71.4
1994,74.4
1995,71.2
1996,72.3
1997,69.3
1998,71.3
1999,71.3
2000,73.0
2001,73.5
2002,73.0
2003,70.0
2004,71.3
2005,72.7
2006,72.1
2007,72.9
2008,75.2
2009,70.9
2010,77.4
2011,74.3
2012,72.9
2013,73.5
2014,72.8
2015,73.6
2016,72.4
2017,73.6
2018,72.6
2019,73.8
2020,73.7
2021,73.8
2022,72.4
2023,70.6
