Year,Florida
1895,79.4
1896,80.0
1897,81.9
1898,81.0
1899,80.4
1900,79.3
1901,79.2
1902,80.4
1903,78.0
1904,78.6
1905,80.0
1906,79.9
1907,78.3
1908,78.8
1909,80.2
1910,77.8
1911,80.5
1912,78.3
1913,77.8
1914,81.2
1915,79.7
1916,78.4
1917,78.5
1918,79.7
1919,78.6
1920,78.2
1921,79.7
1922,79.4
1923,78.4
1924,80.9
1925,79.2
1926,78.6
1927,81.3
1928,78.8
1929,78.3
1930,77.3
1931,79.6
1932,79.4
1933,78.4
1934,79.6
1935,79.4
1936,78.6
1937,79.9
1938,78.2
1939,79.8
1940,79.3
1941,79.8
1942,79.6
1943,80.5
1944,81.4
1945,80.5
1946,78.6
1947,79.0
1948,80.5
1949,79.3
1950,81.1
1951,80.0
1952,82.1
1953,80.3
1954,80.2
1955,77.9
1956,78.7
1957,79.9
1958,80.4
1959,79.5
1960,78.7
1961,78.5
1962,79.2
1963,79.8
1964,80.3
1965,77.8
1966,77.1
1967,78.7
1968,79.1
1969,80.9
1970,78.8
1971,79.4
1972,78.6
1973,79.7
1974,78.4
1975,79.8
1976,77.6
1977,81.2
1978,80.3
1979,79.2
1980,79.8
1981,82.2
1982,80.5
1983,78.8
1984,78.3
1985,81.1
1986,80.6
1987,80.7
1988,79.2
1989,80.1
1990,80.7
1991,79.9
1992,79.9
1993,80.4
1994,80.5
1995,79.2
1996,79.2
1997,78.7
1998,84.1
1999,79.3
2000,80.5
2001,80.1
2002,79.6
2003,80.1
2004,81.3
2005,79.9
2006,80.5
2007,80.0
2008,80.9
2009,81.9
2010,83.1
2011,82.1
2012,79.3
2013,81.1
2014,80.3
2015,81.7
2016,81.9
2017,80.2
2018,81.5
2019,82.3
2020,81.0
2021,80.7
2022,82.0
2023,80.6
