Year,Indiana
1895,73.7
1896,70.2
1897,69.3
1898,72.5
1899,73.0
1900,70.4
1901,72.8
1902,68.8
1903,65.3
1904,68.8
1905,70.8
1906,69.9
1907,66.8
1908,69.8
1909,71.1
1910,67.6
1911,72.4
1912,67.3
1913,72.3
1914,73.8
1915,67.6
1916,66.1
1917,67.4
1918,70.2
1919,74.4
1920,70.0
1921,75.4
1922,72.2
1923,71.6
1924,69.1
1925,73.6
1926,66.4
1927,66.0
1928,65.0
1929,67.8
1930,70.0
1931,73.1
1932,72.0
1933,76.2
1934,76.5
1935,67.2
1936,70.9
1937,69.9
1938,68.9
1939,72.5
1940,71.3
1941,71.4
1942,71.3
1943,74.8
1944,74.6
1945,67.9
1946,70.3
1947,68.2
1948,70.7
1949,73.2
1950,69.0
1951,69.5
1952,75.8
1953,74.9
1954,74.2
1955,66.6
1956,71.6
1957,71.2
1958,66.4
1959,71.4
1960,68.6
1961,68.3
1962,71.0
1963,70.9
1964,72.1
1965,70.3
1966,70.5
1967,71.5
1968,71.2
1969,68.5
1970,69.8
1971,74.1
1972,66.5
1973,72.1
1974,66.8
1975,71.2
1976,70.5
1977,69.0
1978,71.0
1979,70.4
1980,68.5
1981,71.9
1982,66.2
1983,71.0
1984,73.8
1985,68.4
1986,71.5
1987,73.0
1988,72.1
1989,70.1
1990,70.3
1991,73.9
1992,66.6
1993,69.4
1994,72.8
1995,71.6
1996,70.8
1997,69.2
1998,71.1
1999,72.0
2000,70.4
2001,69.1
2002,72.9
2003,67.1
2004,69.5
2005,73.4
2006,69.8
2007,72.1
2008,72.2
2009,71.6
2010,74.1
2011,72.2
2012,71.6
2013,70.8
2014,72.6
2015,71.0
2016,72.9
2017,71.1
2018,73.4
2019,69.9
2020,72.1
2021,72.7
2022,72.1
2023,69.3
