Year,Maryland
1895,72.7
1896,69.9
1897,68.2
1898,71.7
1899,73.1
1900,71.5
1901,70.7
1902,69.9
1903,65.7
1904,69.7
1905,70.3
1906,71.6
1907,64.5
1908,70.0
1909,71.4
1910,67.6
1911,71.2
1912,68.8
1913,70.5
1914,71.7
1915,68.0
1916,66.9
1917,70.2
1918,68.6
1919,71.3
1920,69.6
1921,72.1
1922,72.7
1923,73.4
1924,69.1
1925,75.4
1926,67.3
1927,66.4
1928,68.8
1929,70.1
1930,71.9
1931,70.6
1932,70.7
1933,72.2
1934,74.6
1935,70.2
1936,70.6
1937,72.4
1938,69.9
1939,72.7
1940,71.4
1941,70.2
1942,72.0
1943,76.6
1944,72.4
1945,71.2
1946,69.2
1947,68.9
1948,70.6
1949,72.2
1950,70.0
1951,70.4
1952,73.6
1953,71.4
1954,71.3
1955,67.2
1956,70.7
1957,73.4
1958,67.7
1959,71.8
1960,70.3
1961,69.8
1962,70.8
1963,70.2
1964,71.3
1965,69.2
1966,71.0
1967,70.5
1968,70.6
1969,72.5
1970,70.6
1971,71.9
1972,67.0
1973,73.0
1974,67.6
1975,71.0
1976,72.4
1977,68.4
1978,70.4
1979,67.6
1980,68.7
1981,72.5
1982,68.5
1983,70.7
1984,72.2
1985,69.2
1986,72.4
1987,73.4
1988,71.2
1989,73.2
1990,71.3
1991,72.4
1992,68.0
1993,71.0
1994,74.3
1995,71.2
1996,72.4
1997,69.3
1998,70.6
1999,71.3
2000,72.4
2001,72.4
2002,73.0
2003,69.5
2004,70.8
2005,72.8
2006,71.6
2007,72.6
2008,74.3
2009,71.0
2010,76.2
2011,74.0
2012,71.7
2013,72.7
2014,72.3
2015,73.0
2016,72.2
2017,72.6
2018,72.1
2019,72.5
2020,72.7
2021,73.1
2022,72.1
2023,69.4
