Year,Minnesota
1895,62.9
1896,65.0
1897,60.8
1898,63.8
1899,63.7
1900,64.8
1901,63.8
1902,59.8
1903,61.3
1904,61.6
1905,61.2
1906,62.4
1907,62.3
1908,61.6
1909,63.9
1910,66.8
1911,68.5
1912,61.2
1913,66.1
1914,63.5
1915,58.1
1916,59.0
1917,59.4
1918,63.1
1919,66.6
1920,63.7
1921,68.9
1922,65.5
1923,67.3
1924,60.1
1925,62.6
1926,59.7
1927,61.3
1928,59.1
1929,61.8
1930,64.2
1931,68.2
1932,67.3
1933,71.4
1934,66.3
1935,59.9
1936,62.7
1937,62.8
1938,63.8
1939,64.3
1940,62.9
1941,64.8
1942,62.1
1943,64.4
1944,64.6
1945,58.6
1946,63.2
1947,60.2
1948,62.6
1949,66.2
1950,63.5
1951,60.2
1952,65.8
1953,65.2
1954,65.2
1955,64.3
1956,68.2
1957,62.0
1958,58.5
1959,66.4
1960,61.7
1961,66.0
1962,63.5
1963,67.0
1964,64.1
1965,63.0
1966,64.9
1967,62.8
1968,63.4
1969,57.3
1970,66.7
1971,67.2
1972,63.8
1973,65.0
1974,63.3
1975,63.8
1976,67.0
1977,65.0
1978,63.7
1979,62.9
1980,64.2
1981,63.2
1982,58.9
1983,63.8
1984,64.9
1985,60.0
1986,65.1
1987,67.8
1988,70.4
1989,63.2
1990,65.4
1991,68.0
1992,61.3
1993,60.7
1994,65.8
1995,68.4
1996,65.3
1997,67.0
1998,62.1
1999,64.4
2000,61.5
2001,65.1
2002,67.0
2003,63.6
2004,60.7
2005,67.4
2006,65.7
2007,67.2
2008,62.9
2009,62.3
2010,63.8
2011,63.4
2012,66.8
2013,63.9
2014,65.0
2015,64.7
2016,65.6
2017,65.0
2018,67.0
2019,64.4
2020,67.7
2021,69.9
2022,66.2
2023,69.0
