Year,Mississippi
1895,78.4
1896,78.4
1897,80.8
1898,80.5
1899,79.8
1900,77.3
1901,80.2
1902,81.3
1903,73.8
1904,78.5
1905,79.6
1906,79.4
1907,76.5
1908,78.5
1909,78.6
1910,75.9
1911,81.4
1912,75.1
1913,78.0
1914,83.3
1915,78.8
1916,77.2
1917,78.1
1918,81.0
1919,77.9
1920,77.0
1921,80.0
1922,79.0
1923,77.1
1924,80.6
1925,81.0
1926,78.2
1927,78.5
1928,76.7
1929,77.8
1930,77.4
1931,79.0
1932,79.9
1933,78.2
1934,80.2
1935,76.6
1936,80.8
1937,79.6
1938,77.2
1939,79.1
1940,76.7
1941,78.6
1942,78.7
1943,81.7
1944,80.8
1945,78.2
1946,76.4
1947,78.0
1948,79.8
1949,78.7
1950,78.0
1951,78.8
1952,82.4
1953,83.0
1954,80.2
1955,74.7
1956,76.7
1957,78.7
1958,78.2
1959,77.1
1960,78.6
1961,74.8
1962,77.5
1963,79.0
1964,78.9
1965,77.3
1966,75.9
1967,77.9
1968,78.4
1969,78.5
1970,76.9
1971,79.1
1972,77.1
1973,78.6
1974,74.3
1975,77.1
1976,75.2
1977,80.5
1978,78.6
1979,76.5
1980,78.7
1981,80.3
1982,77.4
1983,75.3
1984,77.8
1985,78.5
1986,79.5
1987,77.7
1988,77.7
1989,76.6
1990,79.0
1991,78.4
1992,76.1
1993,78.3
1994,79.0
1995,76.0
1996,77.6
1997,76.0
1998,81.6
1999,78.4
2000,78.1
2001,76.6
2002,77.8
2003,76.6
2004,77.4
2005,77.7
2006,78.6
2007,79.2
2008,79.2
2009,80.2
2010,82.2
2011,82.2
2012,78.2
2013,78.9
2014,78.6
2015,79.2
2016,80.2
2017,76.7
2018,80.6
2019,78.3
2020,78.1
2021,78.1
2022,81.2
2023,79.4
