Year,Missouri
1895,73.5
1896,72.7
1897,73.6
1898,75.4
1899,74.0
1900,73.0
1901,77.5
1902,70.9
1903,66.9
1904,70.4
1905,74.8
1906,71.7
1907,70.2
1908,71.3
1909,73.0
1910,70.1
1911,78.5
1912,69.0
1913,75.0
1914,78.8
1915,70.2
1916,69.6
1917,70.7
1918,76.6
1919,74.5
1920,72.1
1921,76.0
1922,75.6
1923,73.2
1924,72.3
1925,76.2
1926,70.5
1927,69.9
1928,67.4
1929,70.9
1930,71.9
1931,76.4
1932,74.6
1933,77.6
1934,79.7
1935,69.2
1936,76.0
1937,73.7
1938,71.7
1939,73.8
1940,72.9
1941,73.4
1942,72.7
1943,75.1
1944,75.6
1945,68.8
1946,73.2
1947,71.9
1948,72.5
1949,74.5
1950,72.2
1951,70.2
1952,80.0
1953,79.7
1954,76.4
1955,68.8
1956,73.9
1957,72.9
1958,71.1
1959,73.2
1960,72.0
1961,70.4
1962,72.3
1963,75.1
1964,72.6
1965,72.5
1966,71.4
1967,71.9
1968,74.1
1969,70.6
1970,71.6
1971,76.5
1972,72.6
1973,73.4
1974,68.8
1975,73.3
1976,70.7
1977,74.4
1978,73.2
1979,72.1
1980,74.4
1981,74.0
1982,68.5
1983,71.7
1984,74.7
1985,70.1
1986,75.6
1987,75.4
1988,75.2
1989,70.5
1990,73.9
1991,75.4
1992,69.9
1993,72.0
1994,75.1
1995,71.6
1996,72.8
1997,71.5
1998,73.6
1999,72.6
2000,71.2
2001,71.7
2002,74.7
2003,69.2
2004,70.8
2005,75.2
2006,73.5
2007,73.4
2008,73.5
2009,74.6
2010,77.3
2011,75.8
2012,74.8
2013,73.0
2014,73.7
2015,74.3
2016,76.9
2017,73.5
2018,77.4
2019,72.4
2020,75.1
2021,74.9
2022,75.3
2023,73.9
