Year,Montana
1895,54.5
1896,60.3
1897,57.9
1898,57.6
1899,56.0
1900,64.2
1901,53.0
1902,54.6
1903,60.0
1904,57.1
1905,55.3
1906,55.5
1907,55.4
1908,55.1
1909,58.4
1910,60.7
1911,61.0
1912,59.5
1913,60.2
1914,57.3
1915,53.4
1916,55.0
1917,55.7
1918,63.5
1919,63.8
1920,56.8
1921,62.6
1922,61.6
1923,58.7
1924,55.3
1925,58.3
1926,58.7
1927,57.8
1928,54.2
1929,57.3
1930,58.6
1931,63.2
1932,60.0
1933,64.1
1934,58.7
1935,57.4
1936,63.0
1937,59.0
1938,60.1
1939,54.4
1940,60.9
1941,59.3
1942,54.5
1943,54.4
1944,55.5
1945,53.8
1946,57.6
1947,54.8
1948,58.9
1949,58.3
1950,55.8
1951,52.4
1952,59.0
1953,56.9
1954,54.6
1955,56.9
1956,61.5
1957,57.8
1958,56.7
1959,60.4
1960,58.4
1961,64.9
1962,58.7
1963,58.3
1964,57.4
1965,56.8
1966,57.0
1967,56.4
1968,56.5
1969,55.5
1970,61.6
1971,58.1
1972,60.6
1973,59.0
1974,61.4
1975,55.8
1976,56.5
1977,62.1
1978,58.6
1979,59.3
1980,58.9
1981,55.7
1982,57.3
1983,57.6
1984,57.8
1985,57.9
1986,63.5
1987,61.9
1988,67.9
1989,58.8
1990,58.9
1991,58.2
1992,60.9
1993,55.8
1994,59.3
1995,57.9
1996,60.5
1997,60.6
1998,54.4
1999,57.0
2000,58.0
2001,58.4
2002,59.5
2003,58.4
2004,56.1
2005,57.7
2006,61.6
2007,60.7
2008,56.7
2009,56.6
2010,57.5
2011,56.3
2012,60.2
2013,59.0
2014,56.5
2015,63.8
2016,62.4
2017,60.6
2018,59.2
2019,58.6
2020,59.3
2021,65.3
2022,58.5
2023,60.4
