Year,Nevada
1895,62.9
1896,67.7
1897,62.9
1898,65.2
1899,63.0
1900,68.4
1901,61.7
1902,66.1
1903,65.8
1904,63.9
1905,62.4
1906,60.6
1907,57.4
1908,59.9
1909,66.3
1910,65.2
1911,63.9
1912,63.4
1913,60.8
1914,61.4
1915,61.8
1916,62.3
1917,63.7
1918,71.2
1919,65.0
1920,63.0
1921,66.1
1922,66.9
1923,58.5
1924,66.1
1925,63.4
1926,69.5
1927,65.1
1928,63.2
1929,62.6
1930,65.3
1931,65.9
1932,64.2
1933,65.5
1934,61.8
1935,66.4
1936,66.4
1937,63.6
1938,64.1
1939,63.6
1940,69.2
1941,61.3
1942,62.4
1943,59.2
1944,58.1
1945,59.9
1946,64.0
1947,61.1
1948,62.8
1949,63.5
1950,62.6
1951,63.2
1952,61.1
1953,60.9
1954,61.9
1955,63.4
1956,64.6
1957,65.4
1958,63.8
1959,67.6
1960,68.2
1961,69.1
1962,63.7
1963,59.1
1964,60.9
1965,60.5
1966,64.2
1967,60.6
1968,65.4
1969,62.1
1970,64.2
1971,62.8
1972,66.2
1973,65.5
1974,68.3
1975,62.3
1976,62.8
1977,68.4
1978,63.5
1979,64.8
1980,61.7
1981,67.9
1982,62.5
1983,62.6
1984,62.2
1985,68.4
1986,68.5
1987,67.0
1988,66.6
1989,65.0
1990,65.4
1991,62.2
1992,64.8
1993,61.0
1994,67.9
1995,59.8
1996,66.9
1997,64.0
1998,59.7
1999,64.1
2000,68.1
2001,67.1
2002,67.6
2003,67.8
2004,67.0
2005,61.5
2006,68.9
2007,67.6
2008,65.4
2009,62.4
2010,64.8
2011,62.4
2012,66.2
2013,68.6
2014,66.7
2015,71.0
2016,69.7
2017,68.6
2018,67.8
2019,64.3
2020,65.0
2021,72.6
2022,67.0
2023,61.9
