Year,New Hampshire
1895,65.0
1896,60.6
1897,57.4
1898,61.7
1899,63.2
1900,62.9
1901,63.5
1902,58.0
1903,56.4
1904,60.5
1905,59.3
1906,60.8
1907,60.0
1908,62.4
1909,61.9
1910,58.9
1911,59.5
1912,58.8
1913,59.9
1914,59.0
1915,59.4
1916,57.4
1917,60.3
1918,57.1
1919,64.5
1920,60.7
1921,61.4
1922,62.8
1923,62.0
1924,59.0
1925,63.6
1926,57.4
1927,57.3
1928,58.7
1929,62.3
1930,66.0
1931,61.8
1932,61.0
1933,63.2
1934,62.8
1935,61.5
1936,62.2
1937,62.0
1938,63.4
1939,61.8
1940,60.4
1941,63.1
1942,62.6
1943,64.5
1944,61.6
1945,61.3
1946,61.5
1947,59.7
1948,59.3
1949,65.8
1950,62.7
1951,60.2
1952,63.3
1953,63.1
1954,61.9
1955,62.0
1956,62.3
1957,64.5
1958,56.6
1959,60.7
1960,61.8
1961,61.7
1962,62.5
1963,62.8
1964,61.2
1965,60.6
1966,62.2
1967,64.4
1968,59.9
1969,62.4
1970,61.7
1971,62.4
1972,60.8
1973,63.5
1974,61.5
1975,61.9
1976,66.4
1977,60.2
1978,61.6
1979,61.9
1980,59.1
1981,62.6
1982,58.5
1983,63.4
1984,63.1
1985,58.9
1986,59.1
1987,62.1
1988,60.5
1989,62.4
1990,62.5
1991,62.7
1992,60.9
1993,61.4
1994,65.0
1995,63.9
1996,63.2
1997,62.8
1998,61.4
1999,66.0
2000,61.6
2001,64.2
2002,60.6
2003,62.5
2004,60.0
2005,66.0
2006,63.8
2007,62.5
2008,63.9
2009,60.2
2010,63.0
2011,62.1
2012,62.1
2013,63.2
2014,62.8
2015,60.2
2016,62.6
2017,62.6
2018,61.4
2019,61.6
2020,64.0
2021,66.1
2022,61.8
2023,62.0
