Year,New Jersey
1895,70.6
1896,67.1
1897,65.0
1898,68.9
1899,70.8
1900,69.4
1901,68.9
1902,66.7
1903,63.1
1904,67.6
1905,67.4
1906,69.8
1907,63.5
1908,68.8
1909,69.0
1910,65.9
1911,68.0
1912,67.0
1913,68.2
1914,67.7
1915,65.9
1916,63.9
1917,68.0
1918,65.5
1919,68.8
1920,67.7
1921,69.4
1922,70.2
1923,71.3
1924,65.8
1925,73.0
1926,64.0
1927,64.5
1928,66.1
1929,68.9
1930,70.3
1931,68.5
1932,68.4
1933,70.2
1934,71.8
1935,68.0
1936,68.0
1937,69.5
1938,67.5
1939,69.9
1940,67.8
1941,68.5
1942,69.1
1943,73.6
1944,69.7
1945,68.8
1946,67.0
1947,66.6
1948,68.1
1949,71.1
1950,67.6
1951,67.7
1952,70.9
1953,69.6
1954,69.2
1955,66.6
1956,69.4
1957,72.0
1958,65.2
1959,69.6
1960,68.8
1961,68.6
1962,69.4
1963,68.6
1964,68.5
1965,67.8
1966,69.9
1967,69.8
1968,68.2
1969,70.1
1970,68.1
1971,70.0
1972,65.7
1973,71.5
1974,66.6
1975,69.1
1976,71.4
1977,67.0
1978,68.4
1979,66.0
1980,67.0
1981,69.9
1982,66.0
1983,69.4
1984,71.1
1985,66.5
1986,69.2
1987,71.1
1988,68.8
1989,71.2
1990,69.2
1991,70.9
1992,66.7
1993,69.3
1994,72.2
1995,69.4
1996,70.1
1997,67.8
1998,68.5
1999,70.6
2000,70.3
2001,71.0
2002,70.1
2003,67.4
2004,69.0
2005,72.1
2006,70.1
2007,70.6
2008,73.0
2009,67.6
2010,73.9
2011,71.9
2012,70.0
2013,71.2
2014,70.6
2015,70.3
2016,70.6
2017,70.4
2018,70.1
2019,70.6
2020,71.5
2021,71.8
2022,69.8
2023,67.8
