Year,New Mexico
1895,67.1
1896,72.9
1897,68.9
1898,68.9
1899,69.0
1900,70.9
1901,68.9
1902,71.9
1903,64.8
1904,67.4
1905,69.6
1906,69.2
1907,65.4
1908,67.9
1909,69.9
1910,70.8
1911,69.4
1912,67.1
1913,66.4
1914,69.4
1915,68.0
1916,69.9
1917,68.5
1918,71.8
1919,66.5
1920,67.3
1921,67.2
1922,70.4
1923,69.4
1924,72.3
1925,70.2
1926,69.1
1927,68.2
1928,69.2
1929,69.9
1930,70.3
1931,70.3
1932,67.6
1933,69.5
1934,70.3
1935,69.5
1936,71.2
1937,68.7
1938,69.5
1939,70.5
1940,68.9
1941,65.2
1942,69.1
1943,69.4
1944,68.4
1945,66.9
1946,71.2
1947,68.5
1948,69.5
1949,68.3
1950,70.1
1951,68.2
1952,71.8
1953,72.6
1954,70.1
1955,67.6
1956,72.9
1957,69.6
1958,71.9
1959,71.1
1960,71.0
1961,70.1
1962,67.7
1963,68.5
1964,68.6
1965,66.4
1966,68.4
1967,67.8
1968,69.8
1969,67.5
1970,67.5
1971,69.5
1972,68.8
1973,67.2
1974,71.4
1975,67.8
1976,68.6
1977,70.9
1978,70.6
1979,66.7
1980,72.4
1981,71.9
1982,67.8
1983,66.5
1984,68.5
1985,69.2
1986,68.2
1987,68.2
1988,69.3
1989,69.2
1990,74.5
1991,68.1
1992,66.9
1993,69.2
1994,73.7
1995,67.4
1996,72.0
1997,68.5
1998,69.9
1999,68.3
2000,70.7
2001,71.5
2002,73.8
2003,69.2
2004,69.9
2005,69.8
2006,73.0
2007,69.8
2008,71.9
2009,69.0
2010,72.6
2011,73.1
2012,74.2
2013,74.1
2014,72.4
2015,71.6
2016,73.0
2017,72.8
2018,74.3
2019,69.4
2020,72.5
2021,73.1
2022,72.6
2023,69.6
