Year,Oregon
1895,56.2
1896,57.2
1897,55.6
1898,56.4
1899,54.6
1900,59.1
1901,53.0
1902,55.5
1903,58.9
1904,56.4
1905,55.5
1906,53.7
1907,54.9
1908,54.8
1909,56.9
1910,56.0
1911,56.1
1912,56.8
1913,56.3
1914,55.1
1915,55.3
1916,54.6
1917,54.8
1918,62.6
1919,55.7
1920,55.6
1921,58.7
1922,60.2
1923,54.5
1924,57.6
1925,57.4
1926,60.9
1927,58.0
1928,56.0
1929,55.9
1930,55.8
1931,57.5
1932,59.0
1933,58.2
1934,57.4
1935,58.1
1936,59.4
1937,57.8
1938,58.9
1939,55.3
1940,61.6
1941,56.1
1942,54.7
1943,53.6
1944,54.8
1945,55.6
1946,55.9
1947,54.9
1948,59.2
1949,57.4
1950,56.6
1951,57.8
1952,55.3
1953,52.3
1954,53.6
1955,57.8
1956,55.4
1957,58.9
1958,59.3
1959,58.8
1960,59.2
1961,62.6
1962,56.8
1963,55.9
1964,55.5
1965,56.8
1966,56.4
1967,58.9
1968,58.5
1969,59.5
1970,60.7
1971,54.7
1972,59.0
1973,58.5
1974,61.1
1975,55.8
1976,54.4
1977,61.4
1978,58.1
1979,58.4
1980,54.1
1981,56.7
1982,58.7
1983,55.8
1984,54.7
1985,59.4
1986,62.4
1987,61.0
1988,58.4
1989,59.6
1990,57.9
1991,53.9
1992,61.8
1993,55.4
1994,57.6
1995,56.2
1996,57.8
1997,56.6
1998,56.6
1999,56.3
2000,60.2
2001,56.5
2002,59.9
2003,61.2
2004,59.5
2005,55.0
2006,60.9
2007,58.6
2008,56.6
2009,58.4
2010,55.6
2011,54.9
2012,55.5
2013,59.4
2014,58.1
2015,65.6
2016,60.5
2017,59.9
2018,58.5
2019,59.0
2020,57.9
2021,65.2
2022,58.1
2023,59.4
