Year,Pennsylvania
1895,69.2
1896,65.2
1897,63.1
1898,67.8
1899,68.4
1900,67.7
1901,67.2
1902,64.0
1903,61.8
1904,66.3
1905,66.3
1906,67.6
1907,61.8
1908,66.8
1909,66.9
1910,63.5
1911,66.7
1912,63.7
1913,66.2
1914,66.5
1915,63.9
1916,61.8
1917,64.9
1918,64.2
1919,70.1
1920,65.3
1921,68.0
1922,67.7
1923,68.6
1924,63.9
1925,69.4
1926,62.0
1927,61.8
1928,63.2
1929,65.5
1930,67.1
1931,66.4
1932,66.4
1933,69.0
1934,70.8
1935,65.4
1936,66.4
1937,67.6
1938,65.2
1939,67.9
1940,65.9
1941,66.7
1942,67.2
1943,71.6
1944,68.2
1945,65.4
1946,64.8
1947,64.8
1948,65.9
1949,69.5
1950,64.9
1951,66.1
1952,68.7
1953,67.4
1954,67.2
1955,63.5
1956,66.4
1957,68.8
1958,61.7
1959,66.7
1960,65.3
1961,65.2
1962,66.7
1963,65.9
1964,65.8
1965,64.5
1966,66.7
1967,68.5
1968,65.2
1969,66.6
1970,65.2
1971,68.0
1972,62.1
1973,68.4
1974,63.6
1975,66.4
1976,68.4
1977,63.3
1978,65.1
1979,64.1
1980,63.1
1981,66.6
1982,63.1
1983,66.2
1984,66.8
1985,62.8
1986,65.8
1987,68.3
1988,65.1
1989,67.0
1990,66.0
1991,68.4
1992,63.1
1993,65.8
1994,68.8
1995,67.6
1996,67.9
1997,65.9
1998,65.6
1999,67.3
2000,67.2
2001,66.8
2002,67.9
2003,64.0
2004,64.8
2005,69.7
2006,66.0
2007,67.8
2008,68.8
2009,65.0
2010,69.3
2011,68.0
2012,66.5
2013,67.4
2014,67.6
2015,67.1
2016,67.4
2017,66.8
2018,66.6
2019,65.8
2020,67.2
2021,68.6
2022,67.1
2023,64.5
