Year,Rhode Island
1895,66.7
1896,63.3
1897,60.9
1898,64.5
1899,67.2
1900,65.2
1901,65.2
1902,62.5
1903,58.6
1904,62.1
1905,62.7
1906,64.2
1907,61.1
1908,65.8
1909,65.1
1910,62.8
1911,63.5
1912,63.9
1913,63.4
1914,63.6
1915,62.2
1916,60.9
1917,64.0
1918,61.7
1919,65.2
1920,62.4
1921,64.9
1922,66.1
1923,65.9
1924,62.2
1925,67.7
1926,60.3
1927,61.3
1928,62.1
1929,65.1
1930,69.0
1931,64.4
1932,63.5
1933,65.6
1934,65.9
1935,63.5
1936,64.4
1937,65.0
1938,64.0
1939,63.8
1940,63.0
1941,65.0
1942,65.1
1943,68.4
1944,65.3
1945,64.7
1946,64.2
1947,61.8
1948,62.4
1949,67.9
1950,64.4
1951,63.6
1952,67.0
1953,66.7
1954,65.2
1955,63.7
1956,65.7
1957,68.5
1958,61.1
1959,63.4
1960,65.7
1961,65.5
1962,65.1
1963,65.6
1964,64.5
1965,64.4
1966,66.0
1967,64.9
1968,63.7
1969,66.0
1970,64.2
1971,66.2
1972,63.1
1973,68.0
1974,64.0
1975,64.9
1976,67.9
1977,64.2
1978,65.4
1979,64.0
1980,63.2
1981,66.9
1982,61.9
1983,67.3
1984,67.4
1985,62.4
1986,64.0
1987,66.5
1988,64.8
1989,66.9
1990,65.9
1991,67.0
1992,64.7
1993,66.3
1994,68.0
1995,66.2
1996,66.6
1997,66.0
1998,64.9
1999,68.6
2000,66.2
2001,68.9
2002,64.6
2003,64.2
2004,64.9
2005,68.1
2006,67.1
2007,66.5
2008,69.0
2009,63.4
2010,68.9
2011,66.2
2012,65.7
2013,68.0
2014,66.4
2015,64.5
2016,66.9
2017,66.8
2018,65.9
2019,66.5
2020,68.1
2021,69.6
2022,66.3
2023,64.3
