Year,South Dakota
1895,62.1
1896,66.6
1897,64.5
1898,66.0
1899,64.9
1900,69.0
1901,64.8
1902,61.3
1903,63.5
1904,63.1
1905,62.4
1906,62.8
1907,63.5
1908,62.6
1909,66.1
1910,67.7
1911,72.4
1912,64.3
1913,69.2
1914,66.9
1915,60.0
1916,60.7
1917,62.2
1918,67.9
1919,68.3
1920,64.4
1921,72.0
1922,67.7
1923,66.3
1924,61.8
1925,64.6
1926,64.6
1927,63.5
1928,60.4
1929,63.9
1930,65.2
1931,73.2
1932,67.8
1933,75.5
1934,69.4
1935,63.1
1936,70.8
1937,64.6
1938,67.6
1939,65.4
1940,67.1
1941,65.8
1942,63.4
1943,64.9
1944,64.3
1945,58.6
1946,66.1
1947,61.9
1948,63.9
1949,67.2
1950,65.4
1951,59.3
1952,69.4
1953,67.2
1954,64.6
1955,63.3
1956,72.4
1957,63.4
1958,61.9
1959,70.2
1960,64.0
1961,68.7
1962,64.5
1963,69.0
1964,66.0
1965,65.0
1966,66.7
1967,62.9
1968,65.6
1969,60.5
1970,68.3
1971,68.8
1972,66.2
1973,66.8
1974,66.1
1975,65.0
1976,68.3
1977,69.2
1978,66.0
1979,65.8
1980,68.4
1981,66.0
1982,61.6
1983,64.4
1984,65.6
1985,62.6
1986,68.7
1987,69.4
1988,75.3
1989,64.9
1990,67.5
1991,69.3
1992,63.7
1993,61.6
1994,67.5
1995,65.6
1996,67.4
1997,68.0
1998,61.7
1999,65.1
2000,64.4
2001,66.0
2002,70.4
2003,63.9
2004,62.1
2005,67.9
2006,69.1
2007,68.2
2008,63.8
2009,63.2
2010,65.9
2011,64.7
2012,70.4
2013,65.3
2014,64.2
2015,67.6
2016,70.7
2017,68.1
2018,69.3
2019,66.3
2020,70.3
2021,72.3
2022,67.7
2023,69.9
