Year,Tennessee
1895,75.5
1896,73.1
1897,75.1
1898,76.6
1899,76.5
1900,73.7
1901,76.1
1902,75.1
1903,68.6
1904,73.3
1905,75.2
1906,74.3
1907,71.1
1908,73.6
1909,74.6
1910,70.5
1911,76.4
1912,70.9
1913,74.8
1914,79.4
1915,72.9
1916,71.8
1917,71.8
1918,75.1
1919,75.6
1920,72.2
1921,77.5
1922,75.2
1923,73.6
1924,75.2
1925,77.8
1926,72.4
1927,72.4
1928,70.9
1929,73.0
1930,73.1
1931,75.6
1932,75.6
1933,75.2
1934,76.4
1935,71.4
1936,77.1
1937,75.6
1938,71.8
1939,75.4
1940,73.4
1941,75.3
1942,75.5
1943,78.3
1944,77.1
1945,72.5
1946,73.0
1947,72.9
1948,74.7
1949,74.7
1950,73.3
1951,74.0
1952,80.3
1953,78.3
1954,75.3
1955,68.9
1956,73.2
1957,74.9
1958,73.5
1959,72.3
1960,73.1
1961,70.6
1962,73.1
1963,73.3
1964,74.9
1965,72.6
1966,71.9
1967,73.0
1968,73.4
1969,74.1
1970,72.0
1971,75.4
1972,70.6
1973,74.6
1974,69.1
1975,73.2
1976,71.6
1977,74.1
1978,73.9
1979,71.9
1980,73.4
1981,75.7
1982,71.5
1983,71.8
1984,75.1
1985,73.1
1986,75.3
1987,75.0
1988,73.7
1989,72.2
1990,73.9
1991,74.2
1992,70.4
1993,73.5
1994,75.4
1995,72.0
1996,73.4
1997,70.9
1998,75.8
1999,74.4
2000,74.1
2001,71.9
2002,74.9
2003,70.6
2004,73.7
2005,74.0
2006,73.2
2007,75.2
2008,75.4
2009,75.6
2010,78.4
2011,76.5
2012,73.6
2013,74.2
2014,74.8
2015,75.9
2016,76.5
2017,73.0
2018,76.5
2019,73.4
2020,73.5
2021,74.0
2022,75.8
2023,72.1
