Year,Texas
1895,78.0
1896,82.0
1897,79.7
1898,79.3
1899,79.5
1900,81.2
1901,81.9
1902,82.3
1903,73.7
1904,78.0
1905,79.7
1906,79.8
1907,78.9
1908,80.5
1909,80.1
1910,79.7
1911,82.8
1912,77.0
1913,76.9
1914,79.7
1915,80.2
1916,81.4
1917,80.4
1918,82.4
1919,75.5
1920,77.5
1921,78.2
1922,78.7
1923,80.2
1924,81.9
1925,82.7
1926,79.1
1927,79.0
1928,79.8
1929,80.3
1930,78.8
1931,80.2
1932,79.9
1933,79.8
1934,83.4
1935,78.2
1936,81.3
1937,80.6
1938,80.2
1939,81.2
1940,76.8
1941,76.8
1942,79.8
1943,80.2
1944,80.5
1945,79.6
1946,78.6
1947,80.5
1948,81.7
1949,79.6
1950,79.2
1951,79.9
1952,81.7
1953,85.0
1954,80.8
1955,78.3
1956,82.0
1957,78.6
1958,81.3
1959,79.6
1960,81.2
1961,77.6
1962,78.4
1963,80.1
1964,79.5
1965,78.8
1966,78.1
1967,80.3
1968,78.4
1969,79.1
1970,77.8
1971,80.3
1972,79.1
1973,77.4
1974,78.6
1975,78.6
1976,78.0
1977,80.4
1978,80.2
1979,77.2
1980,83.0
1981,79.3
1982,78.2
1983,76.7
1984,79.9
1985,78.3
1986,78.4
1987,77.3
1988,78.3
1989,77.6
1990,83.6
1991,79.4
1992,77.9
1993,79.0
1994,82.1
1995,77.4
1996,81.1
1997,77.6
1998,83.9
1999,79.2
2000,78.6
2001,80.9
2002,80.6
2003,78.5
2004,78.7
2005,80.5
2006,80.8
2007,77.9
2008,82.9
2009,81.7
2010,82.7
2011,85.2
2012,82.4
2013,81.8
2014,80.6
2015,79.3
2016,80.1
2017,80.6
2018,83.9
2019,79.1
2020,80.7
2021,80.3
2022,83.8
2023,82.2
