Year,Utah
1895,61.3
1896,67.6
1897,62.9
1898,64.3
1899,63.0
1900,67.6
1901,61.8
1902,65.9
1903,65.1
1904,62.5
1905,63.4
1906,60.8
1907,57.9
1908,59.3
1909,65.2
1910,66.3
1911,63.7
1912,63.4
1913,62.6
1914,62.0
1915,60.5
1916,62.4
1917,62.4
1918,69.8
1919,66.2
1920,62.9
1921,65.2
1922,66.6
1923,60.4
1924,65.8
1925,61.6
1926,66.9
1927,64.4
1928,62.3
1929,62.6
1930,64.7
1931,67.1
1932,62.9
1933,67.8
1934,63.1
1935,66.0
1936,67.9
1937,63.4
1938,65.4
1939,63.4
1940,68.4
1941,61.6
1942,63.1
1943,61.4
1944,59.8
1945,59.2
1946,65.8
1947,60.6
1948,63.4
1949,62.4
1950,62.4
1951,61.6
1952,63.7
1953,64.2
1954,63.1
1955,62.4
1956,66.8
1957,64.1
1958,66.2
1959,67.8
1960,66.8
1961,68.8
1962,63.6
1963,61.4
1964,61.6
1965,60.5
1966,64.5
1967,60.0
1968,64.7
1969,61.2
1970,63.8
1971,64.4
1972,65.7
1973,63.7
1974,68.2
1975,60.6
1976,62.9
1977,68.7
1978,64.6
1979,64.0
1980,63.9
1981,67.3
1982,62.5
1983,62.3
1984,62.1
1985,66.8
1986,68.1
1987,67.0
1988,68.6
1989,64.0
1990,67.1
1991,63.5
1992,64.4
1993,61.4
1994,69.4
1995,59.9
1996,67.9
1997,65.2
1998,60.0
1999,64.0
2000,67.3
2001,67.1
2002,68.7
2003,66.0
2004,66.1
2005,61.8
2006,68.8
2007,68.2
2008,65.0
2009,62.0
2010,65.4
2011,63.3
2012,68.7
2013,69.2
2014,66.0
2015,70.0
2016,70.9
2017,69.5
2018,69.1
2019,63.6
2020,65.4
2021,71.9
2022,67.6
2023,62.6
