Year,Vermont
1895,64.9
1896,60.0
1897,57.7
1898,61.6
1899,62.8
1900,62.2
1901,63.0
1902,57.2
1903,57.2
1904,60.7
1905,59.1
1906,61.1
1907,60.3
1908,61.5
1909,61.3
1910,58.6
1911,59.2
1912,58.0
1913,59.5
1914,58.5
1915,59.4
1916,57.7
1917,60.2
1918,57.3
1919,64.5
1920,60.8
1921,60.9
1922,62.6
1923,61.4
1924,58.8
1925,62.9
1926,56.6
1927,56.4
1928,58.4
1929,61.6
1930,65.5
1931,60.9
1932,60.2
1933,63.1
1934,62.7
1935,61.2
1936,61.7
1937,61.5
1938,63.0
1939,61.0
1940,60.1
1941,62.6
1942,62.0
1943,63.9
1944,61.4
1945,60.8
1946,60.7
1947,59.9
1948,59.4
1949,66.3
1950,62.2
1951,60.3
1952,62.2
1953,62.6
1954,61.8
1955,62.0
1956,61.4
1957,64.6
1958,56.0
1959,61.4
1960,61.3
1961,60.8
1962,61.8
1963,62.1
1964,60.3
1965,59.7
1966,61.6
1967,64.4
1968,59.6
1969,61.5
1970,61.2
1971,61.3
1972,60.4
1973,63.2
1974,61.6
1975,61.6
1976,65.2
1977,59.6
1978,61.1
1979,61.2
1980,58.5
1981,61.7
1982,58.6
1983,62.6
1984,62.4
1985,58.0
1986,58.5
1987,62.0
1988,59.1
1989,62.4
1990,61.8
1991,62.1
1992,59.8
1993,60.0
1994,64.1
1995,63.4
1996,62.6
1997,62.5
1998,61.8
1999,65.4
2000,60.4
2001,63.2
2002,60.6
2003,61.7
2004,59.4
2005,66.5
2006,62.9
2007,62.9
2008,63.7
2009,60.3
2010,61.8
2011,62.0
2012,62.2
2013,62.0
2014,62.6
2015,59.9
2016,62.0
2017,61.5
2018,60.1
2019,60.5
2020,62.8
2021,65.4
2022,61.5
2023,61.6
