Year,Virginia
1895,72.6
1896,70.6
1897,71.3
1898,72.3
1899,73.7
1900,72.1
1901,71.5
1902,70.7
1903,66.9
1904,70.8
1905,71.9
1906,72.3
1907,65.6
1908,70.1
1909,72.6
1910,68.0
1911,72.3
1912,69.4
1913,70.6
1914,73.6
1915,68.7
1916,68.2
1917,70.1
1918,69.1
1919,71.3
1920,69.3
1921,72.3
1922,72.3
1923,73.0
1924,70.6
1925,74.7
1926,68.7
1927,67.6
1928,69.3
1929,69.4
1930,70.7
1931,71.3
1932,71.6
1933,72.7
1934,74.6
1935,70.6
1936,71.4
1937,73.0
1938,69.3
1939,74.2
1940,72.2
1941,71.0
1942,72.7
1943,76.2
1944,73.6
1945,71.6
1946,70.2
1947,69.7
1948,71.3
1949,72.2
1950,70.6
1951,71.2
1952,75.4
1953,72.3
1954,71.5
1955,66.6
1956,70.8
1957,72.6
1958,69.0
1959,71.0
1960,70.6
1961,69.1
1962,69.9
1963,70.0
1964,71.7
1965,68.8
1966,69.9
1967,69.2
1968,70.6
1969,72.2
1970,71.2
1971,71.9
1972,66.6
1973,72.7
1974,67.3
1975,70.7
1976,70.6
1977,68.7
1978,70.7
1979,67.4
1980,69.2
1981,73.6
1982,69.4
1983,70.0
1984,72.6
1985,69.8
1986,72.7
1987,72.8
1988,69.8
1989,72.9
1990,70.8
1991,71.8
1992,67.5
1993,71.0
1994,73.6
1995,70.6
1996,72.1
1997,68.6
1998,71.7
1999,70.7
2000,72.6
2001,71.5
2002,72.9
2003,68.9
2004,70.8
2005,71.8
2006,70.7
2007,71.9
2008,74.0
2009,71.6
2010,76.0
2011,73.4
2012,70.2
2013,72.2
2014,72.5
2015,73.7
2016,71.8
2017,71.2
2018,73.1
2019,71.2
2020,71.3
2021,72.0
2022,72.1
2023,68.1
