Year,Washington
1895,57.8
1896,57.7
1897,57.1
1898,57.8
1899,55.1
1900,60.1
1901,53.1
1902,55.8
1903,60.5
1904,56.8
1905,56.8
1906,54.8
1907,56.3
1908,56.6
1909,57.6
1910,56.1
1911,57.2
1912,59.4
1913,58.0
1914,56.2
1915,57.2
1916,56.2
1917,54.8
1918,61.2
1919,55.0
1920,55.5
1921,58.7
1922,61.8
1923,57.0
1924,58.5
1925,58.8
1926,60.7
1927,59.0
1928,57.7
1929,56.9
1930,56.0
1931,57.8
1932,59.7
1933,56.8
1934,58.8
1935,57.5
1936,59.2
1937,58.4
1938,60.3
1939,55.6
1940,61.0
1941,57.6
1942,55.7
1943,55.1
1944,58.0
1945,56.6
1946,55.9
1947,56.8
1948,61.2
1949,57.0
1950,57.6
1951,58.3
1952,56.2
1953,53.8
1954,53.9
1955,57.7
1956,55.3
1957,58.7
1958,62.6
1959,57.7
1960,57.9
1961,62.2
1962,56.9
1963,57.5
1964,56.4
1965,57.6
1966,55.8
1967,60.8
1968,57.4
1969,62.3
1970,61.5
1971,54.1
1972,57.7
1973,57.4
1974,59.7
1975,56.0
1976,54.5
1977,60.6
1978,60.1
1979,58.8
1980,55.1
1981,54.6
1982,60.9
1983,56.8
1984,55.7
1985,58.3
1986,61.8
1987,60.7
1988,57.3
1989,60.4
1990,57.5
1991,54.7
1992,63.4
1993,57.1
1994,57.3
1995,58.1
1996,57.2
1997,56.9
1998,58.8
1999,56.0
2000,58.5
2001,55.6
2002,59.5
2003,60.8
2004,60.4
2005,57.0
2006,59.8
2007,57.5
2008,56.2
2009,59.9
2010,55.9
2011,55.5
2012,55.0
2013,58.7
2014,58.3
2015,65.5
2016,59.9
2017,59.5
2018,58.2
2019,59.5
2020,57.9
2021,64.6
2022,58.0
2023,60.9
