Year,West Virginia
1895,70.5
1896,68.8
1897,68.4
1898,70.2
1899,70.8
1900,70.0
1901,69.8
1902,66.7
1903,64.4
1904,68.4
1905,69.4
1906,69.8
1907,64.0
1908,68.0
1909,70.3
1910,65.3
1911,69.2
1912,66.0
1913,68.5
1914,70.7
1915,66.2
1916,64.5
1917,66.3
1918,66.6
1919,71.2
1920,66.8
1921,71.1
1922,69.8
1923,69.5
1924,67.6
1925,71.4
1926,65.0
1927,64.2
1928,65.4
1929,66.6
1930,67.6
1931,68.6
1932,69.2
1933,70.0
1934,72.5
1935,67.0
1936,69.2
1937,69.5
1938,66.5
1939,71.4
1940,69.2
1941,69.3
1942,70.4
1943,74.1
1944,70.9
1945,67.6
1946,68.0
1947,67.4
1948,68.8
1949,70.8
1950,67.6
1951,69.0
1952,72.5
1953,70.8
1954,69.2
1955,63.4
1956,67.6
1957,70.8
1958,65.6
1959,67.4
1960,67.5
1961,65.7
1962,68.1
1963,66.7
1964,68.5
1965,66.6
1966,67.4
1967,68.4
1968,67.5
1969,69.0
1970,68.0
1971,70.1
1972,62.9
1973,70.0
1974,64.4
1975,68.4
1976,68.2
1977,65.0
1978,67.6
1979,65.6
1980,65.3
1981,69.3
1982,65.7
1983,67.3
1984,70.0
1985,65.9
1986,68.6
1987,69.8
1988,66.7
1989,68.9
1990,67.5
1991,69.7
1992,64.6
1993,67.6
1994,70.7
1995,68.7
1996,69.4
1997,66.8
1998,68.0
1999,69.3
2000,69.8
2001,67.8
2002,70.0
2003,65.1
2004,67.6
2005,70.3
2006,66.6
2007,69.2
2008,69.7
2009,68.4
2010,71.9
2011,69.5
2012,67.5
2013,69.2
2014,70.0
2015,70.5
2016,69.5
2017,67.7
2018,70.0
2019,67.6
2020,68.1
2021,69.2
2022,68.7
2023,64.7
